Protein_ID,Type,Method,Count
1a03,prot,NMR,1
1a0n,prot,NMR,1
1a11,prot,NMR,1
1a13,prot,NMR,1
1a1d,prot,NMR,1
1a1p,prot,NMR,1
1a1u,prot,NMR,1
1a1w,prot,NMR,1
1a1z,prot,NMR,1
1a23,prot,NMR,1
1a24,prot,NMR,1
1a2i,prot,NMR,1
1a2s,prot,NMR,1
1a3p,prot,NMR,1
1a56,prot,NMR,1
1a57,prot,NMR,1
1a5e,prot,NMR,1
1a5j,prot,NMR,1
1a5r,prot,NMR,1
1a63,prot,NMR,1
1a67,prot,NMR,1
1a6s,prot,NMR,1
1a6x,prot,NMR,1
1a7f,prot,NMR,1
1a7i,prot,NMR,1
1a7m,prot,NMR,1
1a8c,prot,NMR,1
1a90,prot,NMR,1
1a91,prot,NMR,1
1a93,prot,NMR,1
1a9v,prot,NMR,1
1aa3,prot,NMR,1
1aa9,prot,NMR,1
1aab,prot,NMR,1
1aaf,prot,NMR,1
1ab2,prot,NMR,1
1ab3,prot,NMR,1
1ab7,prot,NMR,1
1abt,prot,NMR,1
1abv,prot,NMR,1
1abz,prot,NMR,1
1ac0,prot,NMR,1
1aca,prot,NMR,1
1aci,prot,NMR,1
1acp,prot,NMR,1
1acw,prot,NMR,1
1acz,prot,NMR,1
1ad7,prot,NMR,1
1adn,prot,NMR,1
1adr,prot,NMR,1
1adx,prot,NMR,1
1adz,prot,NMR,1
1ael,prot,NMR,1
1aey,prot,NMR,1
1af8,prot,NMR,1
1afh,prot,NMR,1
1afi,prot,NMR,1
1afj,prot,NMR,1
1afo,prot,NMR,1
1afp,prot,NMR,1
1aft,prot,NMR,1
1ag2,prot,NMR,1
1ag4,prot,NMR,1
1ag7,prot,NMR,1
1agg,prot,NMR,1
1agt,prot,NMR,1
1ah1,prot,NMR,1
1ah2,prot,NMR,1
1ah9,prot,NMR,1
1ahk,prot,NMR,1
1ahl,prot,NMR,1
1ahm,prot,NMR,1
1ai0,prot,NMR,1
1aiw,prot,NMR,1
1aiy,prot,NMR,1
1aj1,prot,NMR,1
1aj3,prot,NMR,1
1aj4,prot,NMR,1
1aje,prot,NMR,1
1ajw,prot,NMR,1
1ajy,prot,NMR,1
1ak6,prot,NMR,1
1ak7,prot,NMR,1
1ak8,prot,NMR,1
1akk,prot,NMR,1
1akp,prot,NMR,1
1ale,prot,NMR,1
1alf,prot,NMR,1
1alg,prot,NMR,1
1amb,prot,NMR,1
1amc,prot,NMR,1
1aml,prot,NMR,1
1anp,prot,NMR,1
1ans,prot,NMR,1
1ao8,prot,NMR,1
1aoo,prot,NMR,1
1aot,prot,NMR,1
1aou,prot,NMR,1
1aoy,prot,NMR,1
1ap0,prot,NMR,1
1ap4,prot,NMR,1
1ap7,prot,NMR,1
1ap8,prot,NMR,1
1apc,prot,NMR,1
1apf,prot,NMR,1
1apj,prot,NMR,1
1apo,prot,NMR,1
1apq,prot,NMR,1
1aps,prot,NMR,1
1aq5,prot,NMR,1
1aqa,prot,NMR,1
1aqg,prot,NMR,1
1aqq,prot,NMR,1
1aqr,prot,NMR,1
1aqs,prot,NMR,1
1ard,prot,NMR,1
1are,prot,NMR,1
1arf,prot,NMR,1
1ark,prot,NMR,1
1arq,prot,NMR,1
1arr,prot,NMR,1
1as5,prot,NMR,1
1ata,prot,NMR,1
1atb,prot,NMR,1
1atd,prot,NMR,1
1ate,prot,NMR,1
1atx,prot,NMR,1
1aty,prot,NMR,1
1auu,prot,NMR,1
1auz,prot,NMR,1
1av3,prot,NMR,1
1aw0,prot,NMR,1
1aw3,prot,NMR,1
1aw6,prot,NMR,1
1awe,prot,NMR,1
1awj,prot,NMR,1
1awo,prot,NMR,1
1aww,prot,NMR,1
1awx,prot,NMR,1
1awy,prot,NMR,1
1awz,prot,NMR,1
1ax3,prot,NMR,1
1axh,prot,NMR,1
1axj,prot,NMR,1
1axx,prot,NMR,1
1ay3,prot,NMR,1
1ayg,prot,NMR,1
1ayj,prot,NMR,1
1ayk,prot,NMR,1
1az6,prot,NMR,1
1aze,prot,NMR,1
1azg,prot,NMR,1
1azh,prot,NMR,1
1azj,prot,NMR,1
1azk,prot,NMR,1
1b03,prot,NMR,1
1b0q,prot,NMR,1
1b10,prot,NMR,1
1b1a,prot,NMR,1
1b1g,prot,NMR,1
1b1v,prot,NMR,1
1b22,prot,NMR,1
1b28,prot,NMR,1
1b2i,prot,NMR,1
1b2t,prot,NMR,1
1b3c,prot,NMR,1
1b3i,prot,NMR,1
1b45,prot,NMR,1
1b4c,prot,NMR,1
1b4g,prot,NMR,1
1b4i,prot,NMR,1
1b4m,prot,NMR,1
1b4o,prot,NMR,1
1b4q,prot,NMR,1
1b4r,prot,NMR,1
1b50,prot,NMR,1
1b53,prot,NMR,1
1b5a,prot,NMR,1
1b5b,prot,NMR,1
1b5n,prot,NMR,1
1b64,prot,NMR,1
1b6f,prot,NMR,1
1b75,prot,NMR,1
1b8q,prot,NMR,1
1b8t,prot,NMR,1
1b8w,prot,NMR,1
1b9g,prot,NMR,1
1b9p,prot,NMR,1
1b9q,prot,NMR,1
1b9r,prot,NMR,1
1b9u,prot,NMR,1
1ba4,prot,NMR,1
1ba5,prot,NMR,1
1ba6,prot,NMR,1
1ba9,prot,NMR,1
1bah,prot,NMR,1
1bak,prot,NMR,1
1bal,prot,NMR,1
1bax,prot,NMR,1
1bb8,prot,NMR,1
1bba,prot,NMR,1
1bbg,prot,NMR,1
1bbi,prot,NMR,1
1bbl,prot,NMR,1
1bbn,prot,NMR,1
1bbo,prot,NMR,1
1bby,prot,NMR,1
1bc4,prot,NMR,1
1bc6,prot,NMR,1
1bc9,prot,NMR,1
1bci,prot,NMR,1
1bcn,prot,NMR,1
1bct,prot,NMR,1
1bcv,prot,NMR,1
1bd6,prot,NMR,1
1bdc,prot,NMR,1
1bdd,prot,NMR,1
1bde,prot,NMR,1
1bdk,prot,NMR,1
1bds,prot,NMR,1
1be1,prot,NMR,1
1be2,prot,NMR,1
1beg,prot,NMR,1
1bei,prot,NMR,1
1bf0,prot,NMR,1
1bf8,prot,NMR,1
1bf9,prot,NMR,1
1bfi,prot,NMR,1
1bfj,prot,NMR,1
1bfm,prot,NMR,1
1bfw,prot,NMR,1
1bfx,prot,NMR,1
1bfy,prot,NMR,1
1bfz,prot,NMR,1
1bgk,prot,NMR,1
1bh1,prot,NMR,1
1bh4,prot,NMR,1
1bh7,prot,NMR,1
1bha,prot,NMR,1
1bhb,prot,NMR,1
1bhi,prot,NMR,1
1bhu,prot,NMR,1
1bi6,prot,NMR,1
1big,prot,NMR,1
1bip,prot,NMR,1
1bj8,prot,NMR,1
1bjb,prot,NMR,1
1bjc,prot,NMR,1
1bjx,prot,NMR,1
1bk8,prot,NMR,1
1bkt,prot,NMR,1
1bku,prot,NMR,1
1bl1,prot,NMR,1
1bla,prot,NMR,1
1bld,prot,NMR,1
1blj,prot,NMR,1
1blk,prot,NMR,1
1blq,prot,NMR,1
1blr,prot,NMR,1
1blv,prot,NMR,1
1bm4,prot,NMR,1
1bm5,prot,NMR,1
1bm6,prot,NMR,1
1bmr,prot,NMR,1
1bmw,prot,NMR,1
1bmx,prot,NMR,1
1bnb,prot,NMR,1
1bno,prot,NMR,1
1bnp,prot,NMR,1
1bnr,prot,NMR,1
1bnx,prot,NMR,1
1bo0,prot,NMR,1
1bo9,prot,NMR,1
1boc,prot,NMR,1
1bod,prot,NMR,1
1boe,prot,NMR,1
1bom,prot,NMR,1
1bon,prot,NMR,1
1bor,prot,NMR,1
1bpr,prot,NMR,1
1bpv,prot,NMR,1
1bq0,prot,NMR,1
1bqf,prot,NMR,1
1bqt,prot,NMR,1
1bqx,prot,NMR,1
1bqz,prot,NMR,1
1br0,prot,NMR,1
1brv,prot,NMR,1
1brz,prot,NMR,1
1bsh,prot,NMR,1
1bsn,prot,NMR,1
1bt7,prot,NMR,1
1bta,prot,NMR,1
1btb,prot,NMR,1
1btq,prot,NMR,1
1btr,prot,NMR,1
1bts,prot,NMR,1
1btt,prot,NMR,1
1btv,prot,NMR,1
1bu9,prot,NMR,1
1buj,prot,NMR,1
1buq,prot,NMR,1
1bus,prot,NMR,1
1buy,prot,NMR,1
1buz,prot,NMR,1
1bv2,prot,NMR,1
1bv8,prot,NMR,1
1bve,prot,NMR,1
1bvg,prot,NMR,1
1bvh,prot,NMR,1
1bvm,prot,NMR,1
1bw3,prot,NMR,1
1bw4,prot,NMR,1
1bw5,prot,NMR,1
1bw6,prot,NMR,1
1bwe,prot,NMR,1
1bwm,prot,NMR,1
1bwx,prot,NMR,1
1bwy,prot,NMR,1
1bxd,prot,NMR,1
1bxl,prot,NMR,1
1bxp,prot,NMR,1
1by0,prot,NMR,1
